🚀 Training with 1 GPUs (DDP)
Per-GPU batch size: 1
Gradient accumulation steps: 64
Total effective batch size: 64
Device: cuda:0
Loading BPE Map from wikipedia-50/bpe_vocab_map.json
Phoneme vocab size: 137
Pruned BPE vocab size: 23181
Loading training dataset from wikipedia-50/train
Training dataset size: 599059
Filtering samples longer than 1024 tokens...
Filtered dataset: 270295/599059 samples valid (328764 skipped)
Step 17800/1000000 | Loss: 6.1725 | LR: 2.78e-09 | MLM: 2.5848 | CTC: 3.5878
Step 17900/1000000 | Loss: 6.4084 | LR: 2.79e-09 | MLM: 2.6282 | CTC: 3.7802
Step 18000/1000000 | Loss: 3.1220 | LR: 2.81e-09 | MLM: 2.1016 | CTC: 1.0204
Step 18100/1000000 | Loss: 4.2628 | LR: 2.82e-09 | MLM: 2.2227 | CTC: 2.0401
Step 18200/1000000 | Loss: 6.0764 | LR: 2.84e-09 | MLM: 2.6289 | CTC: 3.4475
Step 18300/1000000 | Loss: 6.1539 | LR: 2.85e-09 | MLM: 2.9761 | CTC: 3.1778
Step 18400/1000000 | Loss: 5.7449 | LR: 2.87e-09 | MLM: 2.5962 | CTC: 3.1487
Step 18500/1000000 | Loss: 6.2080 | LR: 2.89e-09 | MLM: 2.7736 | CTC: 3.4344
Step 18600/1000000 | Loss: 6.4429 | LR: 2.90e-09 | MLM: 2.2535 | CTC: 4.1894
Step 18700/1000000 | Loss: 5.7346 | LR: 2.92e-09 | MLM: 2.8424 | CTC: 2.8922
Step 18800/1000000 | Loss: 5.6890 | LR: 2.93e-09 | MLM: 2.6451 | CTC: 3.0439
Step 18900/1000000 | Loss: 7.2538 | LR: 2.95e-09 | MLM: 3.0016 | CTC: 4.2521
Step 19000/1000000 | Loss: 6.8279 | LR: 2.96e-09 | MLM: 2.7871 | CTC: 4.0408
Step 19100/1000000 | Loss: 6.6081 | LR: 2.98e-09 | MLM: 3.0902 | CTC: 3.5179
Step 19200/1000000 | Loss: 6.6564 | LR: 3.00e-09 | MLM: 2.7296 | CTC: 3.9268
Step 19300/1000000 | Loss: 3.7307 | LR: 3.01e-09 | MLM: 2.0150 | CTC: 1.7157
Step 19400/1000000 | Loss: 4.8432 | LR: 3.03e-09 | MLM: 2.7623 | CTC: 2.0809
Step 19500/1000000 | Loss: 6.5774 | LR: 3.04e-09 | MLM: 2.9519 | CTC: 3.6255
Step 19600/1000000 | Loss: 5.2932 | LR: 3.06e-09 | MLM: 2.3235 | CTC: 2.9698
Step 19700/1000000 | Loss: 4.8438 | LR: 3.07e-09 | MLM: 2.7287 | CTC: 2.1151
Step 19800/1000000 | Loss: 6.6374 | LR: 3.09e-09 | MLM: 2.9171 | CTC: 3.7203
Step 19900/1000000 | Loss: 3.4839 | LR: 3.10e-09 | MLM: 1.7911 | CTC: 1.6928
Step 20000/1000000 | Loss: 6.4252 | LR: 3.12e-09 | MLM: 2.9007 | CTC: 3.5245
Step 20100/1000000 | Loss: 5.4255 | LR: 3.14e-09 | MLM: 2.9591 | CTC: 2.4664
Step 20200/1000000 | Loss: 6.0224 | LR: 3.15e-09 | MLM: 2.8578 | CTC: 3.1646
Step 20300/1000000 | Loss: 5.2586 | LR: 3.17e-09 | MLM: 2.2631 | CTC: 2.9955
Step 20400/1000000 | Loss: 4.9351 | LR: 3.18e-09 | MLM: 3.0506 | CTC: 1.8845
Step 20500/1000000 | Loss: 4.0137 | LR: 3.20e-09 | MLM: 2.4540 | CTC: 1.5597
Step 20600/1000000 | Loss: 6.2102 | LR: 3.21e-09 | MLM: 2.9219 | CTC: 3.2884
Step 20700/1000000 | Loss: 6.3756 | LR: 3.23e-09 | MLM: 2.8610 | CTC: 3.5146
Step 20800/1000000 | Loss: 6.3788 | LR: 3.25e-09 | MLM: 2.7330 | CTC: 3.6458
Step 20900/1000000 | Loss: 5.9315 | LR: 3.26e-09 | MLM: 3.0480 | CTC: 2.8835
Step 21000/1000000 | Loss: 6.2640 | LR: 3.28e-09 | MLM: 2.9429 | CTC: 3.3211
Step 21100/1000000 | Loss: 4.5390 | LR: 3.29e-09 | MLM: 2.5053 | CTC: 2.0338
Step 21200/1000000 | Loss: 3.4971 | LR: 3.31e-09 | MLM: 2.4526 | CTC: 1.0444
Step 21300/1000000 | Loss: 5.7913 | LR: 3.32e-09 | MLM: 2.6875 | CTC: 3.1038
Step 21400/1000000 | Loss: 5.5211 | LR: 3.34e-09 | MLM: 2.9939 | CTC: 2.5273
Step 21500/1000000 | Loss: 4.4811 | LR: 3.35e-09 | MLM: 2.5097 | CTC: 1.9713
Step 21600/1000000 | Loss: 4.7656 | LR: 3.37e-09 | MLM: 2.9499 | CTC: 1.8157
Step 21700/1000000 | Loss: 3.9239 | LR: 3.39e-09 | MLM: 2.1077 | CTC: 1.8162
Step 21800/1000000 | Loss: 5.9233 | LR: 3.40e-09 | MLM: 3.3752 | CTC: 2.5481
Step 21900/1000000 | Loss: 4.3581 | LR: 3.42e-09 | MLM: 2.3727 | CTC: 1.9854
Step 22000/1000000 | Loss: 2.9749 | LR: 3.43e-09 | MLM: 1.9196 | CTC: 1.0552
Step 22100/1000000 | Loss: 6.0558 | LR: 3.45e-09 | MLM: 2.6514 | CTC: 3.4044
Step 22200/1000000 | Loss: 3.4337 | LR: 3.46e-09 | MLM: 2.2413 | CTC: 1.1924
Step 22300/1000000 | Loss: 4.0273 | LR: 3.48e-09 | MLM: 2.1512 | CTC: 1.8761
Step 22400/1000000 | Loss: 6.5791 | LR: 3.50e-09 | MLM: 2.7460 | CTC: 3.8331
Step 22500/1000000 | Loss: 6.6083 | LR: 3.51e-09 | MLM: 2.5516 | CTC: 4.0568
Step 22600/1000000 | Loss: 4.6270 | LR: 3.53e-09 | MLM: 2.4246 | CTC: 2.2024
Step 22700/1000000 | Loss: 3.6002 | LR: 3.54e-09 | MLM: 2.4852 | CTC: 1.1149
Step 22800/1000000 | Loss: 4.0989 | LR: 3.56e-09 | MLM: 2.4961 | CTC: 1.6028
Step 22900/1000000 | Loss: 6.1635 | LR: 3.57e-09 | MLM: 2.0689 | CTC: 4.0946
Step 23000/1000000 | Loss: 4.3270 | LR: 3.59e-09 | MLM: 2.1895 | CTC: 2.1375
